Indicator,Geographic area,2023/01,2023/02,2023/03,2023/04,2024/01,2024/02,2024/03,2024/04
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,06 Colima,52710,49197,58295,59599,55287,51919,56527,52519
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,07 Chiapas,118095,126954,140087,151720,121729,116886,119528,133600
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,08 Chihuahua,242905,251998,273919,291694,224242,255213,262026,268109
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,09 Ciudad de México,588960,592090,560027,644035,579483,571894,640883,665808
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,10 Durango,116308,121864,120599,133825,109457,116310,117994,122930
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,11 Guanajuato,324078,327672,318871,327794,267374,265650,284083,275920
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,12 Guerrero,132827,146503,132851,129252,134279,142409,126104,125410
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,13 Hidalgo,139758,137813,126761,142244,108221,101082,116089,125370
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,14 Jalisco,670965,729132,687557,712648,621315,596130,586253,619743
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,15 México,892838,925653,924888,924513,770226,848925,795358,844123
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,264586,257423,294323,297196,228780,237977,234375,239891
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,17 Morelos,59755,61918,59498,74507,47802,45551,55628,43122
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,18 Nayarit,90917,95435,96793,104749,93387,98100,98915,96927
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,19 Nuevo León,449793,465477,481360,473719,456586,458890,463723,494074
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,20 Oaxaca,123268,116561,147716,147479,106022,128259,122305,122231
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,21 Puebla,255515,283988,296679,302364,236637,244010,261499,241627
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,22 Querétaro,126616,121090,116658,124899,106981,113057,118007,128086
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,23 Quintana Roo,148311,152561,146898,155601,144641,147244,157272,138039
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,24 San Luis Potosí,145213,150807,155410,158553,142517,151149,146064,122883
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,25 Sinaloa,221207,226288,236544,235412,201896,221873,224033,238596
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,26 Sonora,186961,202907,191740,217065,164552,193194,188184,189023
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,27 Tabasco,90376,93512,99784,89414,84504,77845,76560,85978
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,28 Tamaulipas,158410,182079,197199,223721,160690,167289,175055,168004
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,29 Tlaxcala,47335,50587,48634,57178,46256,46200,51001,49611
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,265451,279430,239864,290505,251360,267701,255145,257360
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,31 Yucatán,129177,142378,141495,138203,126101,131563,144043,136649
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 1 to 2 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,32 Zacatecas,50296,59246,55504,59238,50812,57181,65224,59394
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,5029766,5072202,5445970,5628634,4627076,4874491,4881951,4834141
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,01 Aguascalientes,41465,42905,44000,43091,40842,34071,44769,43967
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,02 Baja California,87064,99644,117512,103837,64052,73722,83766,64875
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,03 Baja California Sur,84646,91391,97091,101084,86997,92114,95732,94499
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,04 Campeche,34007,39275,38758,41703,39893,43429,40051,40112
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,188795,196215,224095,223038,162436,166288,182172,186224
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,06 Colima,51288,50235,55018,52054,45049,47433,48863,47976
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,07 Chiapas,107720,95592,111978,123347,86545,95387,97240,103017
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,08 Chihuahua,171146,188631,176256,202228,152284,160360,178324,162910
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,09 Ciudad de México,516642,446572,471315,476382,470366,539205,591227,572210
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,10 Durango,68279,70621,78864,75219,55639,66390,64719,72077
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,11 Guanajuato,143222,161991,169068,177389,132976,108581,128462,134180
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,12 Guerrero,58433,78426,73161,84000,69159,68387,68309,72597
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,13 Hidalgo,98221,81796,92450,86203,81160,74334,83207,70899
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,14 Jalisco,601984,607124,669888,747048,639851,640578,561398,514720
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,15 México,718600,703544,716917,711263,577703,723671,566362,574986
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,170268,190196,193994,217765,164585,142612,161066,178077
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,17 Morelos,31866,30932,23378,35087,19286,18748,26398,26349
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,18 Nayarit,74650,73224,72608,83528,64626,71559,67576,71897
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,19 Nuevo León,414233,404919,470123,490495,395087,376890,412226,441253
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,20 Oaxaca,74078,75837,84961,83993,62119,67664,76900,79916
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,21 Puebla,207846,192278,206652,210819,172683,181376,191807,174300
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,22 Querétaro,72821,75819,75923,74602,58438,61321,71175,65578
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,23 Quintana Roo,108453,118334,139333,144602,118975,136582,139648,139837
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,24 San Luis Potosí,90671,98069,94332,91549,93455,94087,101922,78249
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,25 Sinaloa,192578,184488,213153,192132,155921,160757,156032,172460
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,26 Sonora,112995,127397,122343,143336,101038,109685,115923,100546
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,27 Tabasco,76519,91331,101029,99122,87520,68491,74778,76477
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,28 Tamaulipas,107904,95595,114861,120282,85622,93489,98359,99617
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,29 Tlaxcala,28184,26303,29640,35165,24132,30302,28359,36986
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,159835,186474,211314,207960,201327,202238,185710,179904
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,31 Yucatán,98188,106762,116117,112689,91776,95909,99176,114387
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,32 Zacatecas,37165,40282,39838,37622,25534,28831,40295,43059
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,3521383,3605245,3839058,3910404,3184451,3289904,3260360,3301892
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,01 Aguascalientes,29593,30400,29191,30140,28109,22789,30607,28953
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,02 Baja California,61179,70943,79557,70935,44221,49077,59627,44510
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,03 Baja California Sur,58276,64858,68219,67540,65879,68479,68170,63491
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,04 Campeche,24542,26936,27525,29286,27977,30125,27115,27075
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,140895,142878,171278,164462,117384,120368,134338,130674
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,06 Colima,35215,36250,40919,37677,30638,32096,33167,33554
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,07 Chiapas,74070,66511,77309,78963,56725,64109,68575,69172
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,08 Chihuahua,119533,130974,124532,138026,106145,107937,119938,104157
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,09 Ciudad de México,337967,281630,303544,290852,274334,311797,321611,326568
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,10 Durango,51943,53425,57897,56325,43301,48531,47493,49431
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,11 Guanajuato,104764,121826,129379,130624,92522,77714,84523,85964
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,12 Guerrero,43632,56614,52535,55990,47971,48812,48668,49924
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,13 Hidalgo,70381,59012,63778,59501,49967,57924,60469,52570
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,14 Jalisco,419123,419521,477114,516409,449728,446806,376244,374505
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,15 México,471304,483211,479953,480021,379874,437778,364222,393621
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,126950,135544,140331,152601,120385,107807,118941,126147
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,17 Morelos,23115,21801,18087,28928,13702,11951,20813,17157
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,18 Nayarit,52240,56258,52644,58734,46014,53233,49406,50425
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,19 Nuevo León,303979,310576,345443,374202,286290,272697,287565,315772
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,20 Oaxaca,53292,56570,60242,63953,44785,49392,51118,57281
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,21 Puebla,145117,134716,139506,130365,120998,129860,126274,110605
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,22 Querétaro,50543,54815,50321,51010,36736,41166,47505,43339
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,23 Quintana Roo,81874,86639,103060,107334,85848,101336,101262,103362
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,24 San Luis Potosí,64331,73374,68723,65645,65637,66583,68952,53592
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,25 Sinaloa,137970,138200,159013,136160,105993,112342,112932,132243
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,26 Sonora,80016,93892,88199,103507,74633,76338,81637,71801
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,27 Tabasco,54323,67160,75686,71391,62360,46889,51698,53335
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,28 Tamaulipas,77505,70179,81956,82945,62979,63495,65948,74304
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,29 Tlaxcala,20925,19369,20137,25434,16381,18217,19080,24493
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,106083,130666,134395,141875,143603,127856,108459,125263
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,31 Yucatán,73090,79558,89422,82625,66440,67255,73436,77679
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  men (Number of people) Quarterly  /a /f1,32 Zacatecas,27613,30939,29163,26944,16892,19145,30567,30925
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,1508383,1466957,1606912,1718230,1442625,1584587,1621591,1532249
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,01 Aguascalientes,11872,12505,14809,12951,12733,11282,14162,15014
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,02 Baja California,25885,28701,37955,32902,19831,24645,24139,20365
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,03 Baja California Sur,26370,26533,28872,33544,21118,23635,27562,31008
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,04 Campeche,9465,12339,11233,12417,11916,13304,12936,13037
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,47900,53337,52817,58576,45052,45920,47834,55550
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,06 Colima,16073,13985,14099,14377,14411,15337,15696,14422
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,07 Chiapas,33650,29081,34669,44384,29820,31278,28665,33845
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,08 Chihuahua,51613,57657,51724,64202,46139,52423,58386,58753
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,09 Ciudad de México,178675,164942,167771,185530,196032,227408,269616,245642
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,10 Durango,16336,17196,20967,18894,12338,17859,17226,22646
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,11 Guanajuato,38458,40165,39689,46765,40454,30867,43939,48216
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,12 Guerrero,14801,21812,20626,28010,21188,19575,19641,22673
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,13 Hidalgo,27840,22784,28672,26702,31193,16410,22738,18329
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,14 Jalisco,182861,187603,192774,230639,190123,193772,185154,140215
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,15 México,247296,220333,236964,231242,197829,285893,202140,181365
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,16 Michoacán de Ocampo,43318,54652,53663,65164,44200,34805,42125,51930
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,17 Morelos,8751,9131,5291,6159,5584,6797,5585,9192
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,18 Nayarit,22410,16966,19964,24794,18612,18326,18170,21472
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,19 Nuevo León,110254,94343,124680,116293,108797,104193,124661,125481
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,20 Oaxaca,20786,19267,24719,20040,17334,18272,25782,22635
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,21 Puebla,62729,57562,67146,80454,51685,51516,65533,63695
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,22 Querétaro,22278,21004,25602,23592,21702,20155,23670,22239
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,23 Quintana Roo,26579,31695,36273,37268,33127,35246,38386,36475
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,24 San Luis Potosí,26340,24695,25609,25904,27818,27504,32970,24657
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,25 Sinaloa,54608,46288,54140,55972,49928,48415,43100,40217
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,26 Sonora,32979,33505,34144,39829,26405,33347,34286,28745
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,27 Tabasco,22196,24171,25343,27731,25160,21602,23080,23142
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,28 Tamaulipas,30399,25416,32905,37337,22643,29994,32411,25313
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,29 Tlaxcala,7259,6934,9503,9731,7751,12085,9279,12493
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,30 Veracruz de Ignacio de la Llave,53752,55808,76919,66085,57724,74382,77251,54641
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,31 Yucatán,25098,27204,26695,30064,25336,28654,25740,36708
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 2 to 3 times minimum wages-15 years and over  women (Number of people) Quarterly  /a /f1,32 Zacatecas,9552,9343,10675,10678,8642,9686,9728,12134
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,00 Estados Unidos Mexicanos,1955446,1996323,2103278,2138230,1440842,1536957,1604458,1578937
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,01 Aguascalientes,19976,13851,16631,18934,12844,9779,14699,15319
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,02 Baja California,31495,36040,38357,38981,25445,23546,28755,25058
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,03 Baja California Sur,53224,56917,59699,59571,35547,35579,40486,35244
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,04 Campeche,16472,17332,21107,20700,13643,14286,15961,14258
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,05 Coahuila de Zaragoza,68902,85500,90717,91098,53428,59482,61999,62745
Demography and Society > Employment and Occupation > Employment and occupation > Employed population with incomes over 3 to 5 times minimum wages-15 years and over (Number of people) Quarterly  /a /f1,06 Colima,18104,18345,20005,20085,12988,12146,15306,10310
